Dimension,Tool,Why it fixes problems in this dimension,Benchmark reference,Survey / methodology reference
Fairness & Inclusiveness,Proxy Variable Classification,Identifies and mitigates indirect discrimination through proxy variables.,BBQ (2022),Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation
Fairness & Inclusiveness,Large Language Model Scorer and Guidelines,"Reduces bias in scoring by using rubrics and human calibration, promoting fairness in evaluations.",gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Fairness & Inclusiveness,Benchmark/Dataset Card,"Documents potential biases and limitations in the dataset, promoting fair and inclusive use.",gap-driven,"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)"
Safety & Reliability,Construct Definition,"Defines safety and reliability constructs clearly, making them operationalizable in benchmarks.",gap-driven,BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Safety & Reliability,Scenario–Metric Matrix,Identifies and mitigates safety risks by evaluating models in multiple contexts.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Safety & Reliability,Behavioral Testing Matrix,This tool helps in identifying specific safety and reliability issues by systematically testing different capabilities and scenarios.,gap-driven,"CheckList (Ribeiro et al., 2020); BetterBench 2024"
Safety & Reliability,Human-AI Collaborative Item Generation,Improves the reliability of generated content by combining human oversight with AI scalability.,gap-driven,CBBQ (2024); BetterBench 2024; Raji et al. 2021
Safety & Reliability,Safe/Unsafe Contrast Set,"Addresses the issue of over-refusal in safety mechanisms, ensuring that models do not reject legitimate, safe queries.",XSTest (2024),XSTest | Master instances: XSTest (2024)
Safety & Reliability,Risk classification system,"This tool helps in categorizing and assessing different types of safety risks, improving the reliability of risk management.",HarmBench (2024),AILuminate; HarmBench (2024)
Safety & Reliability,Risk level classification,"This tool helps in differentiating and managing risks, improving the safety and reliability of AI systems.",gap-driven,"Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario"
Safety & Reliability,Multi-round Red-Teaming,"Detects and mitigates boundary drift in AI models, enhancing their safety and reliability.",HarmBench (2024),"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algo"
Safety & Reliability,Agent Workflow Simulation,Ensures that agent actions are safe and reliable in simulated environments.,Agent-SafetyBench (2025),"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Safety & Reliability,Public Practice and Hidden Test Data,Prevents data leakage and ensures the integrity of the test set.,gap-driven,AILuminate; MLCommons-style benchmarking practices
Safety & Reliability,Dynamic Updates and Version Management,Ensures benchmarks remain relevant and effective as new safety risks emerge.,gap-driven,BetterBench 2024; AI RMF
Safety & Reliability,Benchmark/Dataset Card,"Provides clear guidelines on the safe and reliable use of the benchmark, including known risks and limitations.",gap-driven,"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)"
Trustworthiness & Controllability,Construct Definition,Ensures that trustworthiness and controllability constructs are clearly defined and can be tested effectively.,gap-driven,BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Trustworthiness & Controllability,Standard Source Coding,Enhances trust by ensuring that ethical judgments are based on transparent and verifiable normative sources.,gap-driven,"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Trustworthiness & Controllability,Scenario–Metric Matrix,Enhances trust by providing a detailed breakdown of model performance in different situations.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Trustworthiness & Controllability,Behavioral Testing Matrix,"By providing a structured way to test model behavior, it enhances the trust and controllability of AI systems.",gap-driven,"CheckList (Ribeiro et al., 2020); BetterBench 2024"
Trustworthiness & Controllability,Cultural Adaptation Process,Enhances the reliability of benchmark results by ensuring they are grounded in local norms and values.,NaVAB (2025),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Trustworthiness & Controllability,Human-AI Collaborative Item Generation,Enhances trust by ensuring that generated items are both accurate and aligned with human values.,gap-driven,CBBQ (2024); BetterBench 2024; Raji et al. 2021
Trustworthiness & Controllability,Risk classification system,"By clearly defining and categorizing risks, it enhances the controllability and trustworthiness of AI systems.",gap-driven,AILuminate; HarmBench (2024)
Trustworthiness & Controllability,Professional Boundary Scoring Criteria,"Enhances trust by ensuring models do not provide unauthorized advice, maintaining professional integrity.",gap-driven,Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Trustworthiness & Controllability,Multi-round Red-Teaming,"Ensures that the model's behavior remains within acceptable boundaries, improving trust and control.",ToxicChat (2023),"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algo"
Trustworthiness & Controllability,Agent Workflow Simulation,Enhances trust by verifying that the agent's actions are predictable and controllable in various contexts.,gap-driven,"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Trustworthiness & Controllability,Large Language Model Scorer and Guidelines,"Enhances scorer reliability and metric validity, making the evaluation process more trustworthy.",gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Trustworthiness & Controllability,Public Practice and Hidden Test Data,"Ensures that models are evaluated on unseen data, enhancing trust in model performance.",gap-driven,AILuminate; MLCommons-style benchmarking practices
Trustworthiness & Controllability,Dynamic Updates and Version Management,Maintains the trustworthiness of benchmarks by keeping them aligned with current ethical and legal standards.,gap-driven,BetterBench 2024; AI RMF
Trustworthiness & Controllability,Benchmark/Dataset Card,Enhances trust by providing transparent and detailed information about the benchmark's creation and usage.,gap-driven,"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)"
Privacy Protection,Contextual Integrity,"Ensures that privacy is considered in a broader, context-specific manner, not just as PII.",PrivaCI-Bench (2025),PrivaCI-Bench (2025); Privacy Theory; Nissenbaum’s Contextual Integrity (CI) theory
Privacy Protection,Dynamic Updates and Version Management,Adapts benchmarks to address new privacy concerns and regulations.,gap-driven,BetterBench 2024; AI RMF
Privacy Protection,Benchmark/Dataset Card,Documents privacy considerations and ensures that the benchmark is used in a manner that respects user privacy.,gap-driven,"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)"
