Rubric,Tool,How it lifts this rubric score,Benchmark reference,Survey / methodology reference
Normative grounding,Construct Definition,"Ensures that the constructs are grounded in normative ethical theories or psychological frameworks, providing a solid foundation for evaluation.",MoralBench / MIC (survey-mentioned value benchmarks),BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Normative grounding,Standard Source Coding,"Ensures that ethical judgments are firmly grounded in established normative sources, enhancing their validity and reliability.",ETHICS (2023),"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Normative grounding,Scenario–Metric Matrix,"Grounds the evaluation in multiple normative frameworks, ensuring a comprehensive assessment.",gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Normative grounding,Contextual Integrity,Anchors privacy considerations in legal and normative frameworks such as GDPR and HIPAA.,PrivaCI-Bench (2025),PrivaCI-Bench (2025); Privacy Theory; Nissenbaum’s Contextual Integrity (CI) theory
Normative grounding,Professional Boundary Scoring Criteria,"Grounds the model's responses in established professional and ethical norms, ensuring alignment with real-world standards.",ETHICS (2023),Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Normative grounding,Large Language Model Scorer and Guidelines,"Provides a normative framework for evaluating responses, ensuring consistency and fairness.",gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Source provenance and evidence fitness,Standard Source Coding,Strengthens the provenance and fitness of evidence by explicitly referencing and documenting normative sources.,ETHICS (2023),"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Source provenance and evidence fitness,Cultural Adaptation Process,"Ensures that the adapted benchmarks are based on culturally relevant and locally validated sources, enhancing the fitness of the evidence.",CBBQ (2024),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Context and stakeholder coverage,Standard Source Coding,"Expands context and stakeholder coverage by considering a wide range of normative sources, ensuring inclusivity and fairness.",gap-driven,"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Context and stakeholder coverage,Scenario–Metric Matrix,"Covers a wide range of contexts and stakeholders, providing a more inclusive evaluation.",gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Context and stakeholder coverage,Cultural Adaptation Process,"Expands the relevance and applicability of benchmarks to diverse cultural contexts, improving stakeholder representation.",KoBBQ (2024),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Context and stakeholder coverage,Human-AI Collaborative Item Generation,Involvement of human experts ensures that the generated items cover relevant contexts and stakeholders.,CBBQ (2024),CBBQ (2024); BetterBench 2024; Raji et al. 2021
Real-world harm linkage,Human-AI Collaborative Item Generation,Human oversight helps in identifying and mitigating potential real-world harms in the generated content.,gap-driven,CBBQ (2024); BetterBench 2024; Raji et al. 2021
Real-world harm linkage,Contextual Integrity,Links privacy violations to real-world harms by considering the context and transmission principles.,PrivaCI-Bench (2025),PrivaCI-Bench (2025); Privacy Theory; Nissenbaum’s Contextual Integrity (CI) theory
Real-world harm linkage,Proxy Variable Classification,Enhances the detection of real-world harms by identifying and flagging proxy variables that can lead to indirect discrimination.,BBQ (2022),Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation
Real-world harm linkage,Professional Boundary Scoring Criteria,Reduces the risk of real-world harm by preventing the model from providing potentially harmful or unauthorized advice.,ETHICS (2023),Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Real-world harm linkage,Agent Workflow Simulation,"Links potential harms to real-world actions, ensuring that the model's behavior is safe and reliable.",Agent-SafetyBench (2025),"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Scenario validity,Scenario–Metric Matrix,Ensures that the scenarios used in the evaluation are realistic and relevant.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Scenario validity,Behavioral Testing Matrix,"Behavioral testing with a matrix approach ensures that scenarios are valid and cover a wide range of possible behaviors, enhancing scenario validity.",gap-driven,"CheckList (Ribeiro et al., 2020); BetterBench 2024"
Scenario validity,Cultural Adaptation Process,"Adapts scenarios to be more valid and realistic within the target cultural context, reducing the risk of misinterpretation.",NaVAB (2025),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Scenario validity,Proxy Variable Classification,Improves the validity of scenarios by ensuring they account for both explicit and implicit biases.,CBBQ (2024),Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation
Scenario validity,Agent Workflow Simulation,Improves the validity of scenarios by simulating real-world interactions and failure modes.,Agent-SafetyBench (2025),"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Task-format fit,Behavioral Testing Matrix,"The capability × test-type system ensures that the task format is well-suited to the specific capabilities being tested, improving the fit.",gap-driven,"CheckList (Ribeiro et al., 2020); BetterBench 2024"
Task-format fit,Ambiguity/Disambiguation Contrast Questions,The tool ensures that the task format aligns with the intended bias detection by using consistent and well-structured templates.,BBQ (2022),BBQ | Master instances: BBQ (2022); BetterBench 2024; Raji et al. 2021
Task-format fit,Safe/Unsafe Contrast Set,"Ensures that the task format aligns with the goal of distinguishing between safe and unsafe prompts, reducing false positives.",XSTest (2024),XSTest | Master instances: XSTest (2024)
Task-format fit,Risk level classification,"It ensures that the task format aligns with the varying levels of risk, making the evaluation more relevant and effective.",gap-driven,"Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario"
Task-format fit,Multi-round Red-Teaming,"Adapts task formats to include multi-turn interactions, better fitting the evaluation of complex, evolving scenarios.",ToxicChat (2023),"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algo"
Task-format fit,Agent Workflow Simulation,Ensures that the task format fits the intended use case by testing multi-turn interactions and tool invocations.,Agent-SafetyBench (2025),"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Metric validity,Scenario–Metric Matrix,"Uses multiple, well-defined metrics to provide a more accurate and nuanced evaluation.",gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Metric validity,Safe/Unsafe Contrast Set,"Improves the validity of safety metrics by accounting for over-refusal, ensuring a more balanced evaluation of model behavior.",XSTest (2024),XSTest | Master instances: XSTest (2024)
Metric validity,Risk classification system,It establishes valid and reliable metrics for assessing and responding to different types of safety risks.,HarmBench (2024),AILuminate; HarmBench (2024)
Metric validity,Risk level classification,The tool enhances the validity of metrics by providing a more nuanced and contextually appropriate risk assessment.,gap-driven,"Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario"
Metric validity,Large Language Model Scorer and Guidelines,"Improves the validity of the metrics used to score open-ended responses, ensuring they accurately reflect the quality of the response.",gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Evaluator reliability,Professional Boundary Scoring Criteria,Provides a consistent and reliable framework for evaluators to assess the model's adherence to professional boundaries.,ETHICS (2023),Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Evaluator reliability,Large Language Model Scorer and Guidelines,Increases the reliability of evaluators by providing clear rubrics and calibration guidelines.,gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Evaluator reliability,Multi-rater Aggregation,Improves the consistency and reliability of scores by aggregating multiple judgments.,gap-driven,Expert-recommended (gap-driven; no benchmark instance in master corpus). LLM judge-related research
Robustness against gaming and contamination,Multi-round Red-Teaming,"Reduces the likelihood of models gaming single-turn safety checks by introducing multi-turn, contextually rich tests.",HarmBench (2024),"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algo"
Robustness against gaming and contamination,Public Practice and Hidden Test Data,"By keeping the test data hidden, it reduces the risk of overfitting and leaderboard gaming.",gap-driven,AILuminate; MLCommons-style benchmarking practices
Maintenance and update governance,Public Practice and Hidden Test Data,Ensures that the benchmark remains relevant and challenging over time by protecting the test data from external influence.,gap-driven,AILuminate; MLCommons-style benchmarking practices
Maintenance and update governance,Dynamic Updates and Version Management,"Ensures that benchmarks are regularly updated and versioned, improving their long-term relevance and reliability.",gap-driven,BetterBench 2024; AI RMF
