Tool,Canonical name,Core practice,Problem fixed,Benchmark instances (master),Survey / methodology refs,Mini case
Proxy variable taxonomy,Proxy Variable Classification,Flag variables that appear neutral but may proxy for protected attributes.,The fairness benchmark only measures explicit bias and overlooks indirect discrimination.,"BBQ (2022) — BBQ constructs paired contextual templates: for each social dimension (e.g., religion, race), the same core biased proposition is embedded into two types of con | CBBQ (2024) — A four-stage human-AI collaborative construction process: (1) AI-based initial screening of raw texts containing social attribute controversies from CNKI and so",Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation,"In a Chinese customer service dialogue dataset, ambiguous contexts (e.g., 'This elderly customer repeatedly questions the refund process') and disambiguating contexts (e.g., 'This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms') are constructed to detect model sensitivity to age-based stereotypes."
Risk-tier taxonomy,Risk level classification,"Categorize requests or scenarios as low-, medium-, or high-risk based on risk intensity.",One-size-fits-all risk assessment leads to excessive rejection or underestimation of crises.,(no master instance — see survey refs),"Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario","In a healthcare AI system, patient requests are categorized into low, medium, and high risk. Low-risk requests (e.g., routine check-ups) are handled by chatbots, while high-risk requests (e.g., severe symptoms) are escalated to human doctors, ensuring appropriate and timely care."
Professional boundary rubric,Professional Boundary Scoring Criteria,"Specify that the model must not overstep its authority in medical, legal, psychological, and other domains.",Empathy/Professional Advice Benchmark is prone to overreach.,"ETHICS (2023) — ETHICS constructs an explicit annotation schema mapped to five major normative ethical traditions (care ethics, justice ethics, deontology, virtue ethics, commo)",Professional ethics; psychological/medical/legal norms; ETHICS (2023),"In a medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions along three ethical axes: deontology, care ethics, and justice ethics, evaluating model response consistency under varying ethical weightings."
Multi-turn red teaming,Multi-round Red-Teaming,"Testing boundary stability through multi-round induction, role-playing, and request packaging.",Single-turn safety questions cannot detect boundary drift.,HarmBench (2024) — HarmBench constructs its test behaviors by systematically mapping 7 semantic harm categories to real-world policies with explicit red-line vs. disputed-behavior labeling. | ToxicChat (2023) — This tool captures real first-turn user prompts from the Vicuna online demo and manually or semi-automatically labels whether the subsequent AI response is toxic.,"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing; AI RMF: NIST AI Risk Management Framework","In a financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines. Label 'forging bank statements' as red-line (explicitly illegal) and 'teaching users reasonable tax planning' as disputed, then re-annotate 1,000 customer service dialogues using this labeling scheme."
Agent / workflow simulation,Agent Workflow Simulation,"Test model actions in environments such as tool invocation, file systems, email, and databases.",Text-response safety does not equal action safety.,"Agent-SafetyBench (2025) — This tool is a test case generation framework designed for LLM agents: it constructs 2,000 multi-turn interaction trajectories in the ToolEmu sandbox environment.","Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021","In the Intelligent Office Assistant dataset, generate multi-turn test cases based on the 'Email Auto-Archiving' functionality. The user requests to move emails, and the agent invokes the search API. In the second turn, the agent simulates an API failure to observe if it executes the move operation without secondary verification, evaluating its robustness."
LLM-as-a-judge + rubric,Large Language Model Scorer and Guidelines,"Evaluate open-ended responses using strong models or multi-model ensembles, and reduce bias through rubrics and human calibration.",Open-ended responses are difficult to score automatically.,(no master instance — see survey refs),MT-Bench; Chatbot Arena; LLM-as-Judge survey,"In an educational setting, LLM-as-a-judge is used to evaluate student essays. The tool employs a strong language model to score the essays, and a detailed rubric is provided to ensure consistent and fair evaluations. Human calibration is used to further reduce bias and improve the reliability of the scores."
Multi-judge aggregation,Multi-rater Aggregation,"Multiple judges or human-model collaboration for scoring, reducing bias from a single evaluator.",Single LLM judge is unstable.,(no master instance — see survey refs),Expert-recommended (gap-driven; no benchmark instance in master corpus). LLM judge-related research,"In an ethical judgment task, multiple human evaluators and LLMs collaboratively score responses, reducing the variability and bias that a single LLM might introduce."
Public/private split,Public Practice and Hidden Test Data,Publish practice data; keep formal test data hidden.,"Data contamination, leaderboard gaming, Goodhart’s law",(no master instance — see survey refs),AILuminate; MLCommons-style benchmarking practices,"A machine learning competition uses a public dataset for participants to train their models. A separate, hidden dataset is used for final evaluation, ensuring that the top-performing models have not overfitted to the training data."
Dynamic update / versioning,Dynamic Updates and Version Management,"Update the question set in response to evolving model capabilities, legal requirements, and societal risks, while maintaining version control.","Benchmark outdated, difficult to compare",(no master instance — see survey refs),BetterBench 2024; AI RMF,"A benchmark for evaluating AI models in healthcare is updated annually to reflect new medical guidelines, emerging diseases, and changes in data privacy laws, ensuring the benchmark remains relevant and reliable."
Benchmark card / dataset card,Benchmark/Dataset Card,"Intended use, out-of-scope, data sources, limitations, maintenance approach",User misuse of benchmark; insufficient documentation,(no master instance — see survey refs),"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)","A research team releases a new benchmark for evaluating AI models in healthcare. They create a detailed Benchmark Card, outlining the intended use, data sources, limitations, and maintenance plan, ensuring that users can apply the benchmark appropriately and understand its context."
