role,benchmark,parent_tool_id,parent_tool_en,parent_tool_zh,subtool_name_en,subtool_name_zh,expert_label_cqj,expert_label_second_expert_yzx,expert_label_source,expert_label_match_note,expert_label_excel_row
primary,MoralChoice (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Ambiguity-stratified moral scenario template with violation tagging,模糊分层道德场景模板及违规标记,高低歧义道德场景,高低歧义道德题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,7
secondary,MoralChoice (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Ambiguity-stratified moral scenario template with violation tagging,模糊分层道德情景模板与违规标记,高低歧义道德场景,高低歧义道德题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,7
primary,CMoralEval (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,MFT-grounded multi-dimensional moral scenario template,多维度道德场景模板,中文道德，分为符合-困境-中性,中文道德场景,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,8
secondary,CMoralEval (2024),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,MFT-grounded multi-dimensional moral scenario template,基于MFT的多维度道德情景模板,中文道德，分为符合-困境-中性,中文道德场景,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,8
primary,CPsyExam (2024),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Standardized exam-based psychological knowledge elicitation protocol,标准化考试心理知识引出协议映射器,中国心理学考试,心理考试题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,9
secondary,CPsyExam (2024),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Standardized exam-based psychological knowledge elicitation protocol,标准化考试心理知识引出协议,中国心理学考试,心理考试题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,9
primary,EmotionBench (2024),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Empathic response elicitation framework with emotion-factor mapping,情感因素映射的共情响应框架,8种情绪，默认-子情境-情绪变化,情绪8类+追问,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,10
secondary,EmotionBench (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Empathic response elicitation framework with emotion-factor mapping,情感因素映射的共情响应框架,8种情绪，默认-子情境-情绪变化,情绪8类+追问,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,10
primary,SMILE (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Role-structured multi-turn dialogue protocol with dual-role annotation schema (supporter/help-seeker),角色结构化多轮对话协议及双角色标注方案,心理、多轮、真实,心理支持多轮,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,11
secondary,SMILE (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Role-structured multi-turn dialogue protocol with dual-role annotation schema (supporter/help-seeker),角色结构化多轮对话协议及双角色标注方案,心理、多轮、真实,心理支持多轮,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,11
primary,Educator-LLM (2025),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Profession-specific moral dilemma bank mapped to validated psychological trait scales (HEXACO-60 & CPST-E),职业特定道德困境库映射至验证心理特质量表 HEXACO-60 和 CPST-E,教师、道德困境,教师伦理题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,12
secondary,Educator-LLM (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Profession-specific moral dilemma bank mapped to validated psychological trait scales (HEXACO-60 & CPST-E),职业特定道德困境库映射至验证心理特质量表 HEXACO-60 与 CPST-E,教师、道德困境,教师伦理题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,12
primary,HeartBench (2025),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Five-dimensional anthropomorphic intelligence framework with case-specific rubric generation (personality/emotion/social/moral/motivational axes),五维拟人智能框架及特定案例评分细则生成,综合类人框架、人格-情绪-社交-道德-动机,类人五维评分,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,13
secondary,HeartBench (2025),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Five-dimensional anthropomorphic intelligence framework with case-specific rubric generation (personality/emotion/social/moral/motivational axes),五维拟人智能框架及案例特定标准生成器,综合类人框架、人格-情绪-社交-道德-动机,类人五维评分,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,13
primary,HumaniBench (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,"Expert-validated, stakeholder-informed multimodal VQA template with identity-anchored question framing",专家验证的利益相关方信息多模态VQA模板,多语言、多模态、公平、推理,人本VQA,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,14
secondary,HumaniBench (2025),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,"Expert-validated, stakeholder-informed multimodal VQA template with identity-anchored question framing",专家验证的利益相关者信息多模态VQA模板与身份锚定问题构建,多语言、多模态、公平、推理,人本VQA,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,14
primary,MoReBench (2025),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-theoretic moral reasoning probe with theory-aligned answer options and normative justification tagging,多理论道德推理探针与规范合理性标注,推理过程程序、道德必须-避免场景、多元道德理论,多理论道德选项,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,15
secondary,MoReBench (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multi-theoretic moral reasoning probe with theory-aligned answer options and normative justification tagging,多理论道德推理探针与规范性理由标注,推理过程程序、道德必须-避免场景、多元道德理论,多理论道德选项,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,15
primary,NaVAB (2025),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Cross-national news-based value elicitation framework with expert-annotated multi-label consensus scoring,跨国家新闻价值提取框架与专家多标签共识评分,多元文化适配，多分类适配,国家价值新闻,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,16
secondary,NaVAB (2025),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Cross-national news-based value elicitation framework with expert-annotated multi-label consensus scoring,跨国新闻价值提取框架与专家多标签共识评分,多元文化适配，多分类适配,国家价值新闻,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,16
primary,VITAL (2025),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Pluralistic Alignment Scoring Framework (Overton/Steerable/Distributional tripartite schema),多指标对齐评分框架,医疗、多元价值观、多角色,医疗价值偏好,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,17
secondary,VITAL (2025),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Pluralistic Alignment Scoring Framework (Overton/Steerable/Distributional tripartite schema),多元对齐评分框架映射器,医疗、多元价值观、多角色,医疗价值偏好,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,17
primary,TrustMH-Bench (2026),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Clinical Risk-Triggered Multi-Stage Evaluation Pipeline,临床风险触发多阶段评估流程,"心理，八大维度（心理学知识
、情绪识别、心理诊断、情绪支持、心理干预）",心理健康八维,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,18
secondary,TrustMH-Bench (2026),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Clinical Risk-Triggered Multi-Stage Evaluation Pipeline,临床风险触发多阶段评估流程,"心理，八大维度（心理学知识
、情绪识别、心理诊断、情绪支持、心理干预）",心理健康八维,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,18
primary,WVS / World Values Survey (2012),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Cross-Cultural Value Distribution Anchoring Template,跨文化价值观分布锚定模板,更细节的推理过程,WVS价值锚点,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,19
secondary,WVS / World Values Survey (2012),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Cross-Cultural Value Distribution Anchoring Template,跨文化价值分布锚定模板,更细节的推理过程,WVS价值锚点,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,19
primary,PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,"Psychometrically grounded item templates from clinical/consulting instruments (e.g., PHQ-9, GAD-7 adapted as LLM response prompts)",基于心理测量的临床咨询项目模板,感知、行为，风险,心理测量转咨询,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,20
secondary,PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,"Psychometrically grounded item templates from clinical/consulting instruments (e.g., PHQ-9, GAD-7 adapted as LLM response prompts)",心理测量基础项目模板映射器,感知、行为，风险,心理测量转咨询,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,20
primary,SOCKET (2023),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Theory-driven Social-Knowledge Task Suite (SocKET),理论驱动社会知识任务套件,角色、分歧,论坛隐含规范,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,21
secondary,SOCKET (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Theory-driven Social-Knowledge Task Suite (SocKET),理论驱动社会知识任务套件,角色、分歧,论坛隐含规范,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,21
primary,SOCIAL-CHEM-101 (2020),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Rules-of-thumb generation and contextual applicability scoring framework,经验规则生成与情境适用性评分框架,情境，冲突,社会常识规则,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,22
secondary,SOCIAL-CHEM-101 (2020),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Rules-of-thumb generation and contextual applicability scoring framework,经验规则生成与情境适用性评分框架,情境，冲突,社会常识规则,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,22
primary,EtiCor (2023),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Multi-regional normative scenario template with culture-anchored annotation guidelines,多区域规范场景模板与文化锚定标注指南,合规normative，多元文化,跨地区规范例子,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,23
secondary,EtiCor (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multi-regional normative scenario template with culture-anchored annotation guidelines,多区域规范场景模板及文化锚定注释指南,合规normative，多元文化,跨地区规范例子,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,23
primary,MoralBench / MIC (survey-mentioned value benchmarks),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Value-aligned preference scoring framework with orthogonal moral dimension weights,价值对齐偏好评分框架与正交道德维度权重,价值的内容分类,道德维度偏好,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,24
secondary,MoralBench / MIC (survey-mentioned value benchmarks),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Value-aligned preference scoring framework with orthogonal moral dimension weights,价值对齐偏好评分框架与正交道德维度权重台账,价值的内容分类,道德维度偏好,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,24
primary,MFTCXplain (survey-mentioned),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Moral Foundations Theory (MFT)-guided explanation generation protocol with cross-lingual justification scaffolding,道德基础理论引导的跨语言解释生成流程,边界违反符合，给出理由,MFT理由生成,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,25
secondary,MFTCXplain (survey-mentioned),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Moral Foundations Theory (MFT)-guided explanation generation protocol with cross-lingual justification scaffolding,道德基础理论引导的跨语言解释生成协议,边界违反符合，给出理由,MFT理由生成,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,25
primary,Kleinberg-FairTradeoffs (2016),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Three-fairness-condition impossibility framework,三公平条件不可能性框架,三个平等的metrics,公平三条件,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,26
secondary,Kleinberg-FairTradeoffs (2016),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Three-fairness-condition impossibility framework,三公平条件不可能性框架,三个平等的metrics,公平三条件,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,26
primary,GAP (2018),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Balanced gender-ambiguous pronoun coreference corpus with consensus labeling & expert adjudication,性别模糊代词共指语料库平衡标注与专家裁定,语境下的性别其实推理,代词共指偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,27
secondary,GAP (2018),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Balanced gender-ambiguous pronoun coreference corpus with consensus labeling & expert adjudication,性别模糊代词共指语料库与共识标注专家裁决台账,语境下的性别其实推理,代词共指偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,27
primary,WinoBias (2018),T06,Contrast-Set Builder,对照集构造器,Minimal-pair stereotypical/anti-stereotypical sentence template with occupation-pronoun alignment,职业代词对齐的最小对立刻板句模板构造器,性别和职业的链接,职业性别最小对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,28
secondary,WinoBias (2018),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Minimal-pair stereotypical/anti-stereotypical sentence template with occupation-pronoun alignment,职业代词对齐的最小对立刻板句模板,性别和职业的链接,职业性别最小对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,28
primary,Winogender (2018),T06,Contrast-Set Builder,对照集构造器,Minimal-pair Winograd-style coreference templates with BLS-calibrated gender occupation priors,最小对Winograd风格共指模板与BLS校准性别职业先验对照集构造器,代词的隐形偏见，反事实,BLS职业代词,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,29
secondary,Winogender (2018),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Minimal-pair Winograd-style coreference templates with BLS-calibrated gender occupation priors,最小对温诺格风格共指模板与BLS校准性别职业先验,代词的隐形偏见，反事实,BLS职业代词,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,29
primary,BEC-pro (2020),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Multilingual template-based bias evaluation corpus with sociolinguistically grounded person-marking lexicon,多语言模板偏见评估语料库与社会语言学人称标记词典,语言敬语的偏见,敬称/职业偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,30
secondary,BEC-pro (2020),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multilingual template-based bias evaluation corpus with sociolinguistically grounded person-marking lexicon,多语言模板偏见评估语料库与社会语言学人称标记词典,语言敬语的偏见,敬称/职业偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,30
primary,CrowS-Pairs (2020),T06,Contrast-Set Builder,对照集构造器,Crowd-sourced stereotypical vs. anti-stereotypical sentence pairs annotated under EEOC-protected-category taxonomy,众包标注的刻板与反刻板句对构造器,定义受保护类别,刻板句对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,31
secondary,CrowS-Pairs (2020),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Crowd-sourced stereotypical vs. anti-stereotypical sentence pairs annotated under EEOC-protected-category taxonomy,众包标注的EEOC保护类别下刻板与反刻板句对台账,定义受保护类别,刻板句对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,31
primary,Dev-WordEmbed (2020),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Bias-Neutral Inference Scoring (BNIS) framework with NetNeutral metric,偏见中立推理评分框架与NetNeutral指标,设置中性句，看看是否偏移,中性句偏移,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,32
secondary,Dev-WordEmbed (2020),T13,Reproducible Evaluation & Benchmark Card Package,可复现评测与基准卡包,Bias-Neutral Inference Scoring (BNIS) framework with NetNeutral metric,偏见中立推理评分框架与NetNeutral指标,设置中性句，看看是否偏移,中性句偏移,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,32
primary,UnQover (2020),T06,Contrast-Set Builder,对照集构造器,Underspecified Question (UQ) template with counterfactual answer inversion,未充分指定问题模板与反事实答案反转,省略关键属性的反事实,省略信息反事实,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,33
secondary,UnQover (2020),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Underspecified Question (UQ) template with counterfactual answer inversion,未充分指定问题模板及反事实答案反转,省略关键属性的反事实,省略信息反事实,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,33
primary,WikiGenderBias (2020),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Gender-Sensitive Relation Schema (GSRS) with disparity-aware relation extraction evaluation,性别敏感关系模式与差异感知关系抽取评估,职业偏见,性别关系schema,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,34
secondary,WikiGenderBias (2020),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Gender-Sensitive Relation Schema (GSRS) with disparity-aware relation extraction evaluation,性别敏感关系模式与差异感知关系抽取评估,职业偏见,性别关系schema,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,34
primary,BOLD (2021),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Multi-axis open-ended prompt template with structured demographic attribute injection,多轴开放式提示模板与结构化人口属性注入映射器,生成式检测，隐含偏见,开放生成偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,35
secondary,BOLD (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multi-axis open-ended prompt template with structured demographic attribute injection,多轴开放式提示模板与结构化人口属性注入,生成式检测，隐含偏见,开放生成偏见,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,35
primary,BUG (2021),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Statistically grounded coreference bias probe using real-text occupational gender distributions,基于真实文本职业性别分布的统计核心指代偏差探针,人口基准统计、性别代词共现。,职业-代词统计,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,36
secondary,BUG (2021),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Statistically grounded coreference bias probe using real-text occupational gender distributions,基于真实文本职业性别分布的统计核心指代偏见探针,人口基准统计、性别代词共现。,职业-代词统计,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,36
primary,HONEST (2021),T06,Contrast-Set Builder,对照集构造器,HurtLex-augmented cloze template for cross-lingual harmful completion scoring,HurtLex 增强的跨语言有害补全评分模板,填空补全，偏见伤害提示,跨语有害补全,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,37
secondary,HONEST (2021),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,HurtLex-augmented cloze template for cross-lingual harmful completion scoring,HurtLex 增强完形模板跨语言有害补全评分,填空补全，偏见伤害提示,跨语有害补全,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,37
primary,NeuTral-WinoBiasPlus (2021),T06,Contrast-Set Builder,对照集构造器,Grammar-Aware Gender-Neutral Rewriting Template,语法感知性别中立重写模板构造器,代词转换中性版本,中性代词改写,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,38
secondary,NeuTral-WinoBiasPlus (2021),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Grammar-Aware Gender-Neutral Rewriting Template,语法感知性别中立重写模板,代词转换中性版本,中性代词改写,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,38
primary,RedditBias (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Real-World Dialogue Bias Triangulation Framework,现实对话偏见三角分析框架,对话，共情信号,对话偏见信号,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,39
secondary,RedditBias (2021),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Real-World Dialogue Bias Triangulation Framework,现实对话偏见三角测量框架,对话，共情信号,对话偏见信号,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,39
primary,StereoSet (2021),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Context-Association Triplet + Dual-Metric Scoring Protocol,上下文关联三元组与双指标评分协议,偏见轴、目标群、刻板语境句,Stereo三元组,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,40
secondary,StereoSet (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Context-Association Triplet + Dual-Metric Scoring Protocol,场景关联三元组与双指标评分协议,偏见轴、目标群、刻板语境句,Stereo三元组,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,40
